yyyyq,Index,D3,D12,E3,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
19822,109.61,NaN,6.820,3.300,14.170,1.2015814171,0.1247,0.1481,0.1692,0.1412,-0.0063804620,0.0012642472,0.0308903519,0.0263595661,0.0176163819,0.0095609049,0.0035919289,-0.0021779315,0.0358052165,-0.0050989902,-0.0201714860
19823,120.42,NaN,6.860,3.050,13.560,1.0885355649,0.0792,0.1294,0.1563,0.1183,-0.0057267960,0.0006764326,0.0231994970,0.0092723505,0.2020773817,0.2133800935,0.0095058104,-0.0018631355,0.0342287272,0.1162250985,0.1003309482
19824,140.64,NaN,6.890,3.140,12.640,0.9322147266,0.0794,0.1183,0.1414,0.1095,0.0023845630,0.0030100517,0.0197018083,-0.0030820031,0.0963587644,0.1093788664,0.0141077955,-0.0013463488,0.0332308478,0.1844872192,0.1699299425
19831,152.96,NaN,6.920,2.930,12.420,0.7800677858,0.0835,0.1173,0.1361,0.1083,0.0027516750,0.0060700061,0.0201984760,0.0034167792,0.0072219906,0.0404352633,0.0067643203,-0.0012148534,0.0323499859,0.0996049160,0.0866195716
19832,168.11,NaN,6.960,3.470,12.590,0.7213820420,0.0879,0.1174,0.1337,0.1119,0.0038909010,0.0158515384,0.0209184863,0.0159728512,-0.0010703089,0.0159296074,0.0039075129,-0.0008278121,0.0325018442,0.1091425449,0.0974752896
19833,166.07,NaN,7.030,3.760,13.300,0.7148475830,0.0900,0.1237,0.1355,0.1157,0.0133505300,0.0230982880,0.0227633973,0.0123857043,0.0014445914,-0.0030248264,0.0047191631,-0.0018284324,0.0337132970,-0.0018203843,-0.0124587147
19834,164.93,NaN,7.120,3.870,14.030,0.7003591178,0.0900,0.1257,0.1375,0.1197,0.0116351110,0.0269866108,0.0219197026,0.0056271451,-0.0010702248,0.0083260071,0.0024797730,-0.0016937271,0.0355815837,0.0046290071,-0.0062770447
19841,159.18,NaN,7.230,4.160,15.260,0.7624754269,0.0952,0.1257,0.1399,0.1253,0.0031716280,0.0239632881,0.0228377821,0.0124916977,-0.0095305046,-0.0143837866,0.0041686702,-0.0020079516,0.0363578112,-0.0211207760,-0.0318910054
19842,153.18,NaN,7.340,4.410,16.200,0.7843518191,0.0987,0.1355,0.1505,0.1374,0.0059771230,0.0012347683,0.0243922277,0.0110425959,-0.0474815730,-0.0364468335,0.0036443408,-0.0018792426,0.0377419429,-0.0248296187,-0.0369305958
19843,166.10,NaN,7.430,4.120,16.560,0.7360509153,0.1037,0.1266,0.1435,0.1235,0.0057057990,-0.0094339536,0.0256896698,0.0122049992,0.1352862036,0.1253595292,0.0049357173,-0.0014075399,0.0385022623,0.0969391751,0.0849573066
19844,167.24,NaN,7.570,3.950,16.640,0.7330983765,0.0806,0.1213,0.1340,0.1170,0.0058518820,-0.0271530397,0.0219274962,0.0031762109,0.0782858940,0.0934316818,0.0035022432,-0.0011276635,0.0389127283,0.0189004321,0.0067764950
19851,180.66,NaN,7.680,3.910,16.390,0.7236457791,0.0852,0.1256,0.1369,0.1181,0.0158806660,-0.0247762436,0.0203887888,0.0104394565,0.0155543582,0.0117801307,0.0031834025,-0.0018750597,0.0388157348,0.0915366648,0.0799277707
19852,191.85,NaN,7.770,3.630,15.610,0.6864301439,0.0695,0.1094,0.1240,0.1055,0.0069239360,-0.0265893625,0.0185920970,0.0109583482,0.1318150701,0.1232736258,0.0020352609,-0.0021959653,0.0388337499,0.0758141750,0.0646523833
19853,182.08,NaN,7.860,3.740,15.230,0.6899588298,0.0710,0.1107,0.1248,0.1082,0.0174426760,-0.0313067522,0.0177142637,0.0068175382,0.0053181890,0.0207818563,0.0022141683,-0.0021212744,0.0377173780,-0.0426539021,-0.0526213401
19854,211.28,NaN,7.940,3.330,14.610,0.5926926882,0.0710,0.1016,0.1158,0.0956,0.0115416640,-0.0195025300,0.0178633742,0.0089232873,0.1334266961,0.1213527014,0.0030849081,-0.0017213560,0.0378843600,0.1742383877,0.1624127207
19861,238.90,NaN,8.050,3.820,14.520,0.5196276277,0.0656,0.0900,0.1050,0.0766,0.0034140300,-0.0164143838,0.0171922515,-0.0042950329,0.1973157088,0.1076873830,0.0043831832,-0.0019183155,0.0368914881,0.1419105729,0.1321024288
19862,250.84,NaN,8.140,3.820,14.710,0.4992814574,0.0621,0.0913,0.1034,0.0790,-0.0036540120,-0.0121655082,0.0153108591,0.0058092697,-0.0003572848,0.0066505480,0.0054253960,-0.0025621870,0.0355426120,0.0576123628,0.0486975278
19863,231.32,NaN,8.240,3.880,14.850,0.5346292671,0.0521,0.0889,0.1020,0.0827,-0.0003362340,-0.0049242326,0.0137765860,0.0070007181,-0.0133669740,0.0189354382,0.0078837922,-0.0023794300,0.0346558677,-0.0716281504,-0.0797240803
19864,242.17,NaN,8.300,2.960,14.480,0.4984308658,0.0553,0.0849,0.0997,0.0789,0.0005249470,-0.0114373941,0.0133535485,0.0027243834,0.0544701611,0.0548392623,0.0039837922,-0.0022403247,0.0346734592,0.0530296616,0.0421081522
19871,291.70,NaN,8.400,4.440,15.100,0.4280402137,0.0559,0.0836,0.0961,0.0795,-0.0024383880,-0.0022834681,0.0138098267,0.0144428655,0.0135084776,0.0185858101,0.0058615698,-0.0020372883,0.0334032274,0.2137550908,0.2045558419
19872,304.00,NaN,8.570,3.140,14.420,0.4078923974,0.0567,0.0932,0.1052,0.0877,0.0088919100,0.0051298009,0.0141084398,0.0124618404,-0.0480649228,-0.0404936139,0.0077535620,-0.0017502493,0.0339180966,0.0501190068,0.0414580968
19873,321.83,NaN,8.710,5.320,15.860,0.3799667216,0.0640,0.1018,0.1131,0.0992,0.0028844370,0.0061874447,0.0150703303,0.0131845611,-0.0696514675,-0.0606958364,0.0051291190,-0.0028272050,0.0347011521,0.0669576268,0.0588472646
19874,247.08,NaN,8.505,4.600,17.500,0.5088120155,0.0577,0.1011,0.1129,0.0920,0.0114354260,0.0133418785,0.0146226007,0.0034744843,0.0838233134,0.0863870255,0.0845827639,-0.0027006902,0.0342907940,-0.2268198999,-0.2348258172
19881,258.89,2.250,8.950,5.530,18.590,0.5075299538,0.0570,0.0939,0.1057,0.0901,0.0114942950,0.0061311066,0.0142743159,0.0095159758,0.0392314280,0.0461686470,0.0127840529,-0.0025722006,0.0342331143,0.0584865614,0.0471841468
19882,273.50,2.540,9.230,6.220,21.670,0.4711188723,0.0646,0.0986,0.1100,0.0917,0.0100159620,-0.0055259033,0.0154849138,0.0128472366,0.0098050458,0.0166074088,0.0083766423,-0.0026466970,0.0347560678,0.0671704568,0.0573543410
19883,271.91,2.460,9.460,6.380,22.730,0.4775404537,0.0724,0.0982,0.1090,0.0917,0.0171539510,-0.0047615952,0.0174739650,0.0152135261,0.0228115983,0.0266522860,0.0044936779,-0.0026083753,0.0345993282,0.0042725949,-0.0061053816
19884,277.72,2.480,9.730,5.620,23.750,0.4652835740,0.0807,0.0957,0.1065,0.0918,0.0181849390,-0.0216391556,0.0192546540,0.0058357624,0.0217128795,0.0138773907,0.0036076501,-0.0022913172,0.0346288503,0.0309379351,0.0182848476
19891,294.87,2.500,9.980,6.740,24.960,0.4686914136,0.0882,0.0980,0.1067,0.0929,0.0178590770,-0.0232586906,0.0212743363,0.0149000337,0.0142614769,0.0134844723,0.0034271040,-0.0023804474,0.0348796979,0.0695388275,0.0595503807
