yyyyq,Index,dpr,earning_price_ratio,devident_payout_ratio,svar,b2m,ntis,tbl,lty,ltr,tms,dft,drs,infl,ik,stock_premium
19743.0,63.54,2.8735174263411825,1.9422969175695033,1.9422969175695033,0.0175202536,1.1354401434999999,0.0049844725,0.0806,0.0837,-0.0019757282,0.0030999999999999917,0.009400000000000006,-0.028782412400000002,0.0324904108,0.038095205099999994,0.016107336912999683
19744.0,68.56,2.9412352484518447,2.042782224763711,2.042782224763711,0.0174131755,1.1200181747,0.0089076422,0.0715,0.076,0.09830785759999999,0.004500000000000004,0.0174,-0.005331673499999995,0.0242909277,0.036559211200000004,0.011702894145740956
19751.0,83.36,3.1202558258242172,2.2890021366359745,2.2890021366359745,0.0085988535,0.9724663151999999,0.0206181302,0.0549,0.0824,0.0082363602,0.027500000000000004,0.018100000000000005,0.0393494818,0.0154015525,0.0339180398,0.00533316911458733
19752.0,95.19,3.24484301764387,2.481445894406922,2.481445894406922,0.005474305,0.8498390198000001,0.023140479,0.0534,0.0813,0.0318904935,0.027899999999999994,0.018500000000000003,0.004016870900000004,0.0176877447,0.0327436161,0.006927194547483979
19753.0,83.87,3.120935161346141,2.380285646801193,2.380285646801193,0.0058921647999999995,0.9409482540999999,0.027987410299999998,0.0642,0.0862,-0.0250895198,0.022000000000000006,0.016600000000000004,-0.007700341699999995,0.0186069433,0.0327950334,0.009493827637093121
19754.0,90.19,3.196292098125181,2.427489556321325,2.427489556321325,0.0042980672,0.876338851,0.023597330099999998,0.0544,0.0805,0.0764894577,0.026100000000000005,0.017699999999999994,0.015757692800000014,0.0164573202,0.0328406161,0.011024477144616917
19761.0,102.77,3.321461605017638,2.4737787590626383,2.4737787590626383,0.0044654377,0.7840312172,0.0150003421,0.05,0.0792,0.0321090463,0.029200000000000004,0.016,0.010023378899999998,0.0072071453,0.0331845477,0.010502739849022086
19762.0,104.28,3.3147135699709662,2.422456037540967,2.422456037540967,0.0029151844,0.7814276312,0.0189524473,0.0541,0.0807,0.0064797684,0.02659999999999999,0.012700000000000003,-0.0034410865999999997,0.015481623500000001,0.0333087676,0.011397609875527424
19763.0,105.24,3.2901518023697207,2.399702301679453,2.399702301679453,0.0021223627,0.7913632737,0.0238063844,0.0508,0.0781,0.043986016399999994,0.027300000000000005,0.0102,0.011698521600000004,0.0146605324,0.033752634,0.010147611612960851
19764.0,107.46,3.2685737152459646,2.3835743369587785,2.3835743369587785,0.0029641456,0.779973125,0.0286909817,0.0435,0.0721,0.0766772817,0.0286,0.011400000000000007,-0.00149640320000001,0.0098326973,0.034121985099999995,0.012720581884682673
19771.0,98.42,3.1423250525015067,2.2786907727946097,2.2786907727946097,0.0016960384,0.8684299283,0.0305154829,0.046,0.0772,-0.0348058199,0.031200000000000006,0.0102,0.0116633695,0.0222860839,0.0351271554,0.013950220255578133
19772.0,100.48,3.1283541617956727,2.2662316663946673,2.2662316663946673,0.0021830175,0.8711120812,0.0320407791,0.0502,0.0754,0.0364116455,0.025199999999999993,0.009599999999999997,0.0021567094999999994,0.0201329359,0.035778383399999995,0.016487281489171977
19773.0,96.53,3.0547266078976643,2.198675956400866,2.198675956400866,0.0016403504999999998,0.9422625161,0.0324553673,0.0581,0.0764,0.009724681899999999,0.018299999999999997,0.008799999999999988,0.0011397131000000019,0.012076783999999998,0.03614805,0.014363949731969335
19774.0,95.1,3.005241061523018,2.1670840326064753,2.1670840326064753,0.002740347,0.9603330245,0.0305013731,0.0607,0.0803,-0.016885037,0.0196,0.007999999999999993,0.008637950399999999,0.01139022,0.036963861800000004,0.014206449403259727
19781.0,89.21,2.9140784201971517,2.100397170608933,2.100397170608933,0.0022008019,1.1114925531,0.0275027778,0.0629,0.0831,-0.009687233299999999,0.020199999999999996,0.007500000000000007,0.010025692699999998,0.0198155751,0.0368763887,0.012531243778432913
19782.0,95.53,2.9600527577013183,2.140851565531565,2.140851565531565,0.0038536501,1.0279015812999999,0.016429114499999998,0.0673,0.0865,-0.012458058000000001,0.019199999999999995,0.008400000000000005,0.0016528251000000015,0.0288383696,0.039523567200000005,0.01713987966470219
19783.0,102.54,3.0128468842722773,2.1818374251499693,2.1818374251499693,0.0028001445000000002,0.9722575131,0.012671983400000001,0.0785,0.086,0.025425775600000002,0.007499999999999993,0.007300000000000001,0.0056607085,0.0204106288,0.0403382475,0.011516793655139454
19784.0,96.11,2.9323389297837763,2.05345805165894,2.05345805165894,0.0069465423,1.0457012956,0.0147348054,0.0908,0.0898,-0.014458786000000001,-0.0010000000000000009,0.007800000000000001,-0.0061178304999999975,0.0180055759,0.0410214207,0.01569223934613464
19791.0,101.59,2.9646236067705027,2.0331810698757455,2.0331810698757455,0.0026159273,1.0330789394,0.011541451299999998,0.0948,0.0902,0.0183110637,-0.004599999999999993,0.008899999999999991,-0.0022897202000000012,0.030400151099999998,0.0412717945,0.011183556648498866
19792.0,102.91,2.947455866277772,1.9962270830423363,1.9962270830423363,0.0021425434,1.0578636072,0.0120254544,0.0906,0.0877,0.046161978799999996,-0.0029,0.010900000000000007,-0.0013102880999999941,0.0356550877,0.0404833911,0.01415800217506559
19793.0,109.32,2.9786812527973763,2.011205146027834,2.011205146027834,0.0024472307999999997,1.0137949873999998,0.0092174588,0.1026,0.0927,-0.0240242129,-0.009899999999999992,0.010999999999999996,0.0036671362000000006,0.0312311215,0.0411056973,0.00975939892572265
19794.0,107.94,2.9411093423499928,1.982902477900884,1.982902477900884,0.004617322199999999,1.061950068,0.0103823171,0.1204,0.1012,-0.050232518399999995,-0.019199999999999995,0.013200000000000003,-0.028600503,0.0289548709,0.040559830299999995,0.005648941714433947
19801.0,102.09,2.8525987795174292,1.8986557572399536,1.8986557572399536,0.0084259174,1.0937321031,0.0117867725,0.152,0.1239,-0.1451433348,-0.0281,0.014899999999999997,0.01301819139999999,0.0427559492,0.0403701665,0.005396301482172586
